CE_Age,CE_Language,CE_Experties,CE_Total_Handled_Leads,CE_Successful_Leads,C_Language,C_Timeperiod_months,C_Field,C_Times_Call,C_Products_Subscribed,C_Premium_Products_Subscribed,C_Call_On_Same_Topic,C_Default_Premium,Call_Duration_Sec,Converted
38,English,"['Car Insurance', 'Home Insurance']",45,2,English,17,Life Insurance,21.03792275,6,3,3,2,621.2364948,0
41,Telgu,"['Life Insurance', 'Education Insurance', 'Health Insurance']",85,3,Telgu,25,Health Insurance,21.62302228,7,4,3,3,440.1333313,0
49,Hindi,"['Life Insurance', 'Education Insurance', 'Home Insurance']",67,4,Hindi,26,Education Insurance,27.0852665,9,3,3,0,521.7440632,0
45,Hindi,"['Education Insurance', 'Car Insurance', 'Home Insurance']",90,3,Hindi,3,Home Insurance,25.28080441,9,2,2,0,327.7523013,0
33,English,"['Education Insurance', 'Life Insurance']",72,1,English,40,Home Insurance,18.72982403,0,0,1,2,358.5206241,0
43,Hindi,"['Home Insurance', 'Health Insurance', 'Car Insurance']",66,1,Hindi,12,Life Insurance,17.45245698,4,1,1,2,464.8471099,0
44,Urdu,"['Life Insurance', 'Car Insurance', 'Home Insurance']",85,7,Urdu,45,Life Insurance,28.45412492,7,3,2,3,418.7757296,0
27,English,['Life Insurance'],62,1,English,46,Home Insurance,27.96596739,6,4,4,2,583.6582608,1
43,Hindi,"['Health Insurance', 'Car Insurance', 'Life Insurance']",41,3,Hindi,5,Education Insurance,30.51558309,13,5,7,0,296.3818004,1
40,English,"['Car Insurance', 'Life Insurance', 'Education Insurance']",52,1,English,13,Home Insurance,25.9462257,6,3,2,4,357.8257721,0
47,Hindi,"['Life Insurance', 'Home Insurance', 'Health Insurance']",45,1,Hindi,13,Education Insurance,25.29005188,9,4,2,0,260.9161647,0
43,English,"['Life Insurance', 'Education Insurance', 'Home Insurance']",32,2,English,6,Car Insurance,27.63805247,5,3,4,1,543.9155778,1
37,Urdu,"['Life Insurance', 'Home Insurance']",77,3,Urdu,0,Home Insurance,22.97807667,7,4,3,0,445.6959126,0
31,Hindi,"['Home Insurance', 'Life Insurance']",98,5,Hindi,37,Education Insurance,25.68054447,6,3,2,3,434.2785436,0
29,Telgu,['Life Insurance'],94,2,Telgu,9,Life Insurance,38.90427049,13,5,7,1,292.0436903,1
44,Urdu,"['Car Insurance', 'Home Insurance', 'Health Insurance']",78,3,Urdu,13,Health Insurance,33.83674074,17,8,9,1,434.3108383,1
40,Marathi,"['Education Insurance', 'Home Insurance', 'Health Insurance']",51,1,Marathi,16,Car Insurance,22.91330445,7,2,2,0,513.3573759,0
25,Hindi,['Health Insurance'],28,1,Hindi,2,Car Insurance,17.83790108,3,0,0,2,411.4129822,0
26,Urdu,['Car Insurance'],51,3,Urdu,29,Education Insurance,24.34585375,7,4,3,3,433.2360784,0
29,Hindi,['Car Insurance'],26,1,Hindi,28,Life Insurance,25.60796905,5,4,3,4,633.5671113,0
23,Marathi,['Health Insurance'],84,6,Marathi,38,Car Insurance,21.54692027,5,3,3,3,383.0709545,0
29,Marathi,['Home Insurance'],85,1,Marathi,8,Home Insurance,25.94626322,7,3,2,3,394.4390603,0
34,Urdu,"['Home Insurance', 'Car Insurance']",63,3,Urdu,39,Home Insurance,33.01655223,17,7,9,4,478.1159527,0
25,Marathi,['Life Insurance'],80,6,Marathi,21,Health Insurance,34.87676709,16,5,6,1,396.8928819,1
28,Hindi,['Home Insurance'],26,1,Hindi,5,Life Insurance,28.13555526,7,2,2,3,337.4140053,0
35,Telgu,"['Health Insurance', 'Home Insurance']",79,6,Telgu,1,Life Insurance,26.00595474,5,4,2,1,519.2179886,0
40,Hindi,"['Home Insurance', 'Health Insurance', 'Education Insurance']",40,1,Hindi,23,Life Insurance,19.91973959,2,0,0,0,592.6677803,0
35,Hindi,"['Health Insurance', 'Education Insurance']",77,5,Hindi,37,Home Insurance,21.05774863,7,4,4,2,568.1680356,1
24,Hindi,['Health Insurance'],33,2,Hindi,1,Education Insurance,20.43563052,9,2,3,3,339.8635688,0
48,Hindi,"['Car Insurance', 'Home Insurance', 'Education Insurance']",63,2,Hindi,22,Education Insurance,30.17970557,10,5,6,1,470.7721922,1
24,Urdu,['Health Insurance'],81,7,Urdu,19,Education Insurance,19.28560061,2,1,1,0,622.5618905,0
31,Marathi,"['Home Insurance', 'Car Insurance']",39,1,Marathi,47,Home Insurance,21.10115715,7,2,3,0,453.7105667,0
46,Urdu,"['Life Insurance', 'Education Insurance', 'Health Insurance']",87,7,Urdu,2,Home Insurance,17.96064376,3,0,1,1,306.1121118,0
31,Telgu,"['Education Insurance', 'Home Insurance']",71,6,Telgu,30,Education Insurance,33.53419328,16,5,5,0,540.278364,1
47,Telgu,"['Life Insurance', 'Health Insurance', 'Home Insurance']",52,3,Telgu,11,Home Insurance,23.86355897,9,4,4,0,366.8858918,1
37,English,"['Home Insurance', 'Life Insurance']",85,1,English,19,Car Insurance,11.64733309,1,0,0,4,450.1928464,0
49,Hindi,"['Home Insurance', 'Car Insurance', 'Education Insurance']",31,2,Hindi,17,Life Insurance,25.31925194,9,4,4,0,315.4495771,1
37,Urdu,"['Home Insurance', 'Education Insurance']",29,1,Urdu,31,Home Insurance,25.75681196,8,4,2,0,651.4482269,0
41,Telgu,"['Car Insurance', 'Life Insurance', 'Education Insurance']",20,1,Telgu,20,Car Insurance,13.95869047,3,0,1,3,478.7311269,0
44,Marathi,"['Education Insurance', 'Life Insurance', 'Health Insurance']",54,2,Marathi,8,Home Insurance,33.58776333,12,7,8,0,405.8404678,1
25,Hindi,['Life Insurance'],71,5,Hindi,45,Education Insurance,16.94372589,2,0,1,0,497.847415,0
46,English,"['Education Insurance', 'Home Insurance', 'Life Insurance']",42,1,English,17,Home Insurance,24.88854053,5,4,2,1,353.5246027,0
22,Urdu,['Life Insurance'],94,7,Urdu,45,Health Insurance,12.51275583,0,0,0,2,437.310757,0
23,Hindi,['Home Insurance'],80,1,Hindi,17,Life Insurance,22.01606104,8,3,2,3,416.3149192,0
27,Telgu,['Car Insurance'],51,3,Telgu,24,Home Insurance,22.90272437,8,4,3,2,433.6168378,0
28,Marathi,['Health Insurance'],62,2,Marathi,32,Car Insurance,29.61780268,8,4,3,1,597.7532228,0
23,Telgu,['Car Insurance'],34,2,Telgu,9,Education Insurance,30.99840555,13,5,8,3,397.8829445,0
34,Marathi,"['Car Insurance', 'Home Insurance']",51,2,Marathi,21,Car Insurance,18.40932286,2,1,0,0,426.2427059,0
38,English,"['Education Insurance', 'Health Insurance']",96,6,English,34,Home Insurance,32.04827227,10,8,6,2,545.8191173,1
22,English,['Home Insurance'],77,5,English,0,Health Insurance,28.91853715,7,2,2,0,449.2804387,0
37,English,"['Health Insurance', 'Car Insurance']",79,2,English,37,Life Insurance,27.86897895,6,3,2,1,549.2999029,0
43,English,"['Life Insurance', 'Car Insurance', 'Education Insurance']",71,3,English,24,Life Insurance,26.9536529,5,3,4,0,361.0460648,1
28,Urdu,['Health Insurance'],95,2,Urdu,40,Life Insurance,26.34872787,5,3,2,0,531.9373556,0
26,Marathi,['Car Insurance'],20,1,Marathi,38,Life Insurance,21.08697112,9,4,4,1,489.3578818,1
37,Marathi,"['Health Insurance', 'Car Insurance']",38,1,Marathi,3,Life Insurance,20.58015803,9,3,3,1,426.2255932,0
28,Hindi,['Home Insurance'],59,1,Hindi,6,Car Insurance,31.09399916,16,5,8,0,447.1803445,1
39,Urdu,"['Home Insurance', 'Car Insurance']",28,1,Urdu,29,Car Insurance,25.64406047,6,2,2,1,247.7725593,0
21,Urdu,['Health Insurance'],52,3,Urdu,39,Education Insurance,33.86137149,16,7,9,0,479.7386283,1
21,Urdu,['Education Insurance'],21,1,Urdu,12,Health Insurance,20.62423803,7,4,2,1,525.3211158,0
38,Urdu,"['Life Insurance', 'Education Insurance']",58,3,Urdu,19,Car Insurance,26.85748557,6,3,3,0,514.8846148,0
28,Hindi,['Home Insurance'],70,4,Hindi,4,Car Insurance,19.88084371,2,0,1,0,630.8196747,0
32,Urdu,"['Car Insurance', 'Health Insurance']",66,1,Urdu,41,Life Insurance,14.66968393,4,1,1,0,455.1390997,0
37,Marathi,"['Car Insurance', 'Home Insurance']",72,4,Marathi,18,Car Insurance,30.4812174,14,5,6,0,265.7283563,1
42,Marathi,"['Home Insurance', 'Life Insurance', 'Education Insurance']",41,3,Marathi,29,Health Insurance,28.10641307,8,3,3,0,297.7641032,0
41,Telgu,"['Home Insurance', 'Health Insurance', 'Life Insurance']",57,3,Telgu,48,Home Insurance,22.36862459,5,4,2,0,512.3606541,0
27,Hindi,['Car Insurance'],46,2,Hindi,24,Car Insurance,31.59536017,16,7,5,4,252.0893726,0
43,English,"['Education Insurance', 'Home Insurance', 'Car Insurance']",27,1,English,3,Education Insurance,15.30883198,1,1,1,0,308.9285448,0
35,English,"['Car Insurance', 'Life Insurance']",74,1,English,12,Life Insurance,27.28626592,6,4,4,1,271.405477,1
23,Hindi,['Education Insurance'],91,5,Hindi,24,Home Insurance,32.75458723,18,7,5,2,581.420898,1
40,Urdu,"['Life Insurance', 'Health Insurance', 'Car Insurance']",31,1,Urdu,41,Home Insurance,24.0709149,8,3,3,1,347.5676597,0
35,Marathi,"['Home Insurance', 'Education Insurance']",40,2,Marathi,17,Car Insurance,23.62119993,8,3,3,0,435.340958,0
29,Telgu,['Life Insurance'],72,3,Telgu,24,Life Insurance,24.80914591,9,4,3,3,270.3461968,0
23,English,['Health Insurance'],74,1,English,26,Life Insurance,17.83863049,4,1,1,1,308.9206685,0
42,English,"['Health Insurance', 'Education Insurance', 'Home Insurance']",52,4,English,47,Health Insurance,22.06852693,8,3,2,1,552.2533781,0
44,English,"['Home Insurance', 'Health Insurance', 'Car Insurance']",26,1,English,34,Car Insurance,29.91145639,5,2,4,0,465.1525011,1
40,Telgu,"['Health Insurance', 'Home Insurance', 'Life Insurance']",96,5,Telgu,14,Home Insurance,30.03389141,11,9,7,0,615.1714626,1
26,Hindi,['Home Insurance'],76,3,Hindi,30,Health Insurance,27.11785195,9,4,3,0,516.2536571,0
40,Telgu,"['Health Insurance', 'Education Insurance', 'Life Insurance']",86,5,Telgu,47,Home Insurance,24.99924523,7,4,3,0,504.1149066,0
28,Hindi,['Life Insurance'],82,2,Hindi,42,Car Insurance,24.33838342,7,4,4,4,358.4473733,0
37,Telgu,"['Education Insurance', 'Car Insurance']",29,1,Telgu,24,Life Insurance,23.30475293,8,3,2,0,320.075065,0
37,Urdu,"['Home Insurance', 'Education Insurance']",31,2,Urdu,41,Education Insurance,33.62956879,14,5,5,2,406.5968,1
30,English,"['Health Insurance', 'Education Insurance']",91,5,English,23,Home Insurance,18.033481,2,0,0,0,451.0005237,0
36,English,"['Life Insurance', 'Education Insurance']",93,6,English,39,Health Insurance,17.67841008,3,0,1,1,283.6194346,0
47,Marathi,"['Life Insurance', 'Car Insurance', 'Education Insurance']",76,2,Marathi,15,Car Insurance,24.51690666,7,4,3,0,430.7579701,0
43,Hindi,"['Home Insurance', 'Car Insurance', 'Education Insurance']",99,6,Hindi,26,Education Insurance,22.02398823,8,3,2,1,552.3911119,0
33,Marathi,"['Life Insurance', 'Car Insurance']",59,3,Marathi,35,Education Insurance,31.9257363,10,6,6,0,359.089282,1
42,Telgu,"['Home Insurance', 'Car Insurance', 'Education Insurance']",59,2,Telgu,3,Life Insurance,21.99884588,5,3,4,1,515.8787106,1
27,Urdu,['Health Insurance'],62,5,Urdu,29,Car Insurance,29.76148195,6,3,2,0,371.7589663,0
26,English,['Home Insurance'],68,5,English,30,Education Insurance,30.28513253,18,5,9,0,292.6798188,1
25,Marathi,['Health Insurance'],33,2,Marathi,3,Health Insurance,23.27031427,5,3,2,0,380.7692885,0
30,Hindi,"['Car Insurance', 'Life Insurance']",96,2,Hindi,20,Health Insurance,27.35181792,5,3,2,0,193.8396165,0
32,Telgu,"['Health Insurance', 'Home Insurance']",92,3,Telgu,11,Life Insurance,28.59011618,6,2,3,0,544.2917885,0
35,Hindi,"['Home Insurance', 'Car Insurance']",66,4,Hindi,5,Life Insurance,21.78086873,5,3,2,0,619.2306582,0
32,English,"['Life Insurance', 'Health Insurance']",89,5,English,4,Car Insurance,37.12578867,16,9,9,0,408.6504432,1
24,Urdu,['Home Insurance'],87,6,Urdu,30,Health Insurance,29.74588237,6,3,4,0,426.0916916,1
47,Telgu,"['Car Insurance', 'Education Insurance', 'Life Insurance']",75,5,Telgu,26,Life Insurance,23.52559369,8,4,3,0,264.0297169,0
34,Telgu,"['Home Insurance', 'Health Insurance']",24,1,Telgu,43,Health Insurance,26.527138,6,2,4,2,504.1352568,1
34,Marathi,"['Car Insurance', 'Education Insurance']",68,2,Marathi,30,Health Insurance,19.60303977,3,1,0,3,450.3424157,0
23,Marathi,['Home Insurance'],91,4,Marathi,46,Life Insurance,29.10080253,5,3,4,0,331.436977,1
27,Urdu,['Car Insurance'],83,2,Urdu,35,Home Insurance,29.33234256,8,4,4,1,322.2067229,1
25,Hindi,['Life Insurance'],80,1,Hindi,30,Life Insurance,19.4878554,3,1,0,0,483.9817161,0
46,Urdu,"['Car Insurance', 'Education Insurance', 'Home Insurance']",42,3,Urdu,1,Health Insurance,22.87506239,8,2,3,3,577.7859767,0
28,English,['Education Insurance'],84,2,English,20,Education Insurance,30.26243085,15,5,5,1,553.9767612,1
21,English,['Health Insurance'],50,1,English,13,Car Insurance,34.23146531,18,7,8,3,449.7012698,0
40,English,"['Education Insurance', 'Life Insurance', 'Car Insurance']",75,1,English,22,Home Insurance,27.73423638,9,4,3,2,487.2473745,0
27,Marathi,['Education Insurance'],72,5,Marathi,25,Life Insurance,30.7093846,13,7,7,3,496.464076,0
24,Marathi,['Life Insurance'],62,5,Marathi,13,Life Insurance,29.7057508,7,2,3,0,322.9612508,0
20,Telgu,['Education Insurance'],73,4,Telgu,24,Education Insurance,26.82119042,6,3,4,0,194.0525326,1
22,Urdu,['Car Insurance'],22,1,Urdu,5,Home Insurance,26.64178923,9,4,4,2,540.3354888,1
48,English,"['Education Insurance', 'Car Insurance', 'Health Insurance']",89,2,English,38,Car Insurance,24.22018444,8,4,2,2,342.6240181,0
41,Telgu,"['Education Insurance', 'Car Insurance', 'Home Insurance']",98,3,Telgu,2,Home Insurance,34.7001169,19,9,6,0,397.8191664,1
25,Hindi,['Car Insurance'],46,1,Hindi,42,Car Insurance,27.86642757,7,3,3,0,512.7622402,0
37,Urdu,"['Home Insurance', 'Health Insurance']",51,4,Urdu,14,Life Insurance,33.82386113,15,9,8,1,330.4196877,1
48,Marathi,"['Life Insurance', 'Car Insurance', 'Education Insurance']",55,1,Marathi,28,Car Insurance,27.12575653,5,3,3,0,603.4202967,0
26,Marathi,['Education Insurance'],81,6,Marathi,29,Education Insurance,29.40374645,9,4,3,2,536.3816253,0
21,Marathi,['Life Insurance'],21,1,Marathi,1,Health Insurance,35.33229946,10,8,7,0,423.7888635,1
34,Marathi,"['Life Insurance', 'Education Insurance']",89,5,Marathi,36,Health Insurance,29.48217758,9,2,3,0,403.5526661,0
29,Marathi,['Education Insurance'],28,1,Marathi,47,Health Insurance,23.5314874,9,4,4,2,493.3979382,1
41,Urdu,"['Education Insurance', 'Life Insurance', 'Car Insurance']",26,1,Urdu,18,Education Insurance,27.11903264,7,4,3,2,659.9296283,0
33,Hindi,"['Home Insurance', 'Health Insurance']",95,7,Hindi,45,Education Insurance,28.88973724,6,4,2,1,343.7539115,0
43,Urdu,"['Home Insurance', 'Life Insurance', 'Car Insurance']",25,1,Urdu,0,Life Insurance,26.8028346,5,2,4,4,623.6482838,0
25,Hindi,['Home Insurance'],74,2,Hindi,0,Education Insurance,25.94554518,5,4,2,0,382.8836354,0
26,Telgu,['Life Insurance'],63,1,Telgu,36,Education Insurance,26.7376442,5,3,3,3,455.7370115,0
49,Marathi,"['Car Insurance', 'Health Insurance', 'Education Insurance']",30,1,Marathi,14,Car Insurance,30.86616543,15,8,9,3,408.3981591,0
24,Telgu,['Home Insurance'],45,1,Telgu,24,Life Insurance,27.20368116,8,4,2,0,659.5549812,0
34,Telgu,"['Health Insurance', 'Life Insurance']",48,1,Telgu,33,Home Insurance,25.40924415,9,4,3,1,488.9082706,0
46,Urdu,"['Life Insurance', 'Home Insurance', 'Education Insurance']",71,5,Urdu,9,Life Insurance,24.76243785,8,2,4,0,560.1701486,1
32,Telgu,"['Car Insurance', 'Life Insurance']",64,3,Telgu,23,Car Insurance,27.74322238,8,4,4,1,381.40559,1
49,Telgu,"['Home Insurance', 'Life Insurance', 'Car Insurance']",80,3,Telgu,18,Education Insurance,22.05913382,7,3,4,0,379.2467149,1
46,Marathi,"['Life Insurance', 'Car Insurance', 'Health Insurance']",76,3,Marathi,22,Car Insurance,27.86564522,6,2,4,0,490.8718407,1
20,English,['Home Insurance'],82,6,English,23,Life Insurance,20.47789051,9,2,2,0,436.1712077,0
21,English,['Home Insurance'],54,2,English,43,Car Insurance,33.95407856,10,6,8,0,575.1159093,1
31,Marathi,"['Life Insurance', 'Education Insurance']",20,1,Marathi,12,Health Insurance,20.8266538,9,3,4,2,495.2566588,1
36,Telgu,"['Health Insurance', 'Home Insurance']",48,2,Telgu,19,Education Insurance,30.88541267,10,6,7,1,365.6105006,1
24,Hindi,['Health Insurance'],91,7,Hindi,40,Car Insurance,30.26325499,12,8,6,0,470.2543103,1
34,Marathi,"['Home Insurance', 'Car Insurance']",29,1,Marathi,45,Health Insurance,21.72126684,5,2,4,0,319.9882075,1
23,Urdu,['Education Insurance'],50,1,Urdu,3,Health Insurance,21.53577947,8,3,3,1,514.0440003,0
25,Marathi,['Life Insurance'],92,3,Marathi,33,Car Insurance,26.19701856,5,2,3,2,494.7482139,0
20,Urdu,['Car Insurance'],31,1,Urdu,44,Car Insurance,23.78959016,6,3,4,0,522.9484975,1
31,Telgu,"['Health Insurance', 'Life Insurance']",54,2,Telgu,4,Home Insurance,20.98615229,6,2,2,1,504.0962207,0
26,Hindi,['Home Insurance'],68,1,Hindi,0,Health Insurance,29.87133663,8,4,4,0,490.7284752,1
42,Marathi,"['Education Insurance', 'Life Insurance', 'Health Insurance']",81,5,Marathi,17,Car Insurance,27.85182731,7,3,3,4,374.319465,0
24,Telgu,['Life Insurance'],85,3,Telgu,16,Education Insurance,19.697062,1,1,0,0,495.6797046,0
22,Hindi,['Home Insurance'],42,2,Hindi,8,Life Insurance,22.71164771,8,2,3,0,339.874416,0
20,Urdu,['Home Insurance'],53,2,Urdu,19,Life Insurance,26.17231821,5,2,3,2,332.6529109,0
35,Urdu,"['Car Insurance', 'Life Insurance']",88,1,Urdu,5,Education Insurance,27.70680665,5,3,2,2,348.9799746,0
22,Telgu,['Health Insurance'],62,1,Telgu,10,Home Insurance,24.93199942,5,3,2,2,464.9966186,0
46,Telgu,"['Life Insurance', 'Health Insurance', 'Education Insurance']",90,4,Telgu,27,Life Insurance,22.59834361,8,3,4,0,405.1604514,1
28,Marathi,['Home Insurance'],47,2,Marathi,38,Education Insurance,19.25452418,1,1,1,0,421.6607339,0
32,Urdu,"['Health Insurance', 'Home Insurance']",95,5,Urdu,1,Life Insurance,24.92115777,7,4,3,0,425.3257149,0
27,Hindi,['Home Insurance'],48,3,Hindi,42,Car Insurance,26.26834462,6,4,4,0,629.9120354,1
27,Urdu,['Health Insurance'],41,2,Urdu,39,Home Insurance,22.99662575,7,2,4,0,392.2951514,1
31,Marathi,"['Health Insurance', 'Car Insurance']",32,2,Marathi,8,Home Insurance,33.4333033,15,6,7,4,421.0192811,0
46,Telgu,"['Health Insurance', 'Home Insurance', 'Education Insurance']",38,1,Telgu,16,Education Insurance,29.11891655,8,2,2,0,260.4431092,0
22,Marathi,['Health Insurance'],35,2,Marathi,17,Health Insurance,27.7310371,7,3,3,0,360.9385111,0
20,Marathi,['Health Insurance'],29,1,Marathi,17,Car Insurance,29.93874145,7,3,3,0,402.9656734,0
30,Telgu,"['Education Insurance', 'Car Insurance']",73,5,Telgu,6,Education Insurance,19.63520286,2,1,0,1,374.3153066,0
25,Urdu,['Home Insurance'],62,2,Urdu,2,Education Insurance,21.77364636,8,2,3,0,542.6116745,0
49,Telgu,"['Car Insurance', 'Life Insurance', 'Health Insurance']",90,4,Telgu,15,Life Insurance,17.90142018,3,0,1,2,555.737869,0
43,Hindi,"['Car Insurance', 'Health Insurance', 'Education Insurance']",70,3,Hindi,30,Home Insurance,22.08030822,5,3,2,3,218.1232795,0
33,Telgu,"['Home Insurance', 'Health Insurance']",36,1,Telgu,10,Education Insurance,25.85337813,9,2,2,1,285.6523473,0
21,Hindi,['Education Insurance'],72,4,Hindi,39,Home Insurance,28.38679233,8,3,2,0,518.7396095,0
24,Urdu,['Home Insurance'],79,2,Urdu,25,Health Insurance,25.29281728,9,3,3,2,281.8321913,0
36,English,"['Education Insurance', 'Home Insurance']",46,2,English,47,Car Insurance,20.91706731,7,2,3,4,389.6546411,0
37,Hindi,"['Health Insurance', 'Car Insurance']",48,1,Hindi,36,Health Insurance,26.82109976,6,2,3,2,324.685771,0
27,Hindi,['Health Insurance'],41,3,Hindi,5,Home Insurance,31.68109393,18,8,9,0,327.4240483,1
27,Urdu,['Health Insurance'],31,1,Urdu,38,Health Insurance,19.13171404,4,1,0,0,385.6083397,0
44,Telgu,"['Home Insurance', 'Health Insurance', 'Education Insurance']",23,1,Telgu,42,Education Insurance,27.16594742,9,2,3,2,372.1668492,0
48,English,"['Education Insurance', 'Home Insurance', 'Health Insurance']",30,2,English,31,Car Insurance,30.99169033,19,7,7,0,312.5001983,1
34,Marathi,"['Education Insurance', 'Home Insurance']",48,3,Marathi,41,Life Insurance,32.63151762,15,8,5,2,454.7537109,1
21,Hindi,['Car Insurance'],90,3,Hindi,31,Life Insurance,27.25163391,7,3,2,1,252.3347733,0
20,Telgu,['Health Insurance'],37,1,Telgu,42,Life Insurance,19.52463958,2,1,0,2,506.1114277,0
28,Marathi,['Car Insurance'],40,1,Marathi,17,Life Insurance,22.8654312,8,3,3,0,595.3437815,0
42,Urdu,"['Education Insurance', 'Car Insurance', 'Health Insurance']",99,2,Urdu,26,Health Insurance,28.88942255,6,4,2,1,362.3762,0
28,English,['Education Insurance'],54,2,English,23,Home Insurance,22.29006953,6,3,4,1,372.0584156,1
35,English,"['Health Insurance', 'Car Insurance']",43,3,English,23,Car Insurance,19.15431564,0,0,1,4,540.6256911,0
39,English,"['Health Insurance', 'Home Insurance']",59,1,English,18,Car Insurance,26.36656845,6,2,2,1,499.2652171,0
36,English,"['Life Insurance', 'Car Insurance']",86,1,English,7,Life Insurance,23.26148781,7,3,2,1,459.8793232,0
30,Urdu,"['Health Insurance', 'Car Insurance']",57,2,Urdu,37,Education Insurance,25.00473624,9,2,3,0,394.5684126,0
48,Urdu,"['Car Insurance', 'Home Insurance', 'Life Insurance']",76,1,Urdu,11,Life Insurance,31.16916382,19,7,8,0,427.7673385,1
27,Marathi,['Life Insurance'],48,1,Marathi,18,Car Insurance,21.71589657,8,2,2,2,464.5140818,0
24,Hindi,['Education Insurance'],51,4,Hindi,35,Life Insurance,27.25453184,5,4,2,2,533.593474,0
31,Telgu,"['Home Insurance', 'Life Insurance']",78,6,Telgu,3,Car Insurance,22.0125228,5,2,2,0,245.6254887,0
42,Urdu,"['Health Insurance', 'Life Insurance', 'Home Insurance']",45,3,Urdu,7,Car Insurance,22.71389034,5,4,4,0,611.5667617,1
29,Urdu,['Health Insurance'],26,1,Urdu,15,Car Insurance,27.0454272,6,4,2,1,427.3250775,0
24,Hindi,['Education Insurance'],90,8,Hindi,9,Health Insurance,21.95795133,6,2,2,1,551.7284555,0
27,Telgu,['Health Insurance'],98,5,Telgu,43,Home Insurance,21.52398064,7,4,2,0,392.152999,0
37,Marathi,"['Health Insurance', 'Car Insurance']",82,7,Marathi,1,Life Insurance,29.53275031,7,3,4,1,360.7116919,1
26,Urdu,['Life Insurance'],39,2,Urdu,38,Health Insurance,24.29691073,9,3,2,3,564.9941926,0
29,Hindi,['Home Insurance'],54,3,Hindi,10,Health Insurance,21.70718513,7,2,2,1,459.2905982,0
43,Hindi,"['Home Insurance', 'Life Insurance', 'Car Insurance']",48,1,Hindi,36,Education Insurance,32.71922345,12,5,6,0,538.9491676,1
40,Hindi,"['Education Insurance', 'Health Insurance', 'Life Insurance']",37,2,Hindi,10,Home Insurance,27.00782911,8,3,3,2,553.6645263,0
27,Urdu,['Education Insurance'],97,4,Urdu,39,Education Insurance,21.56142321,5,3,3,1,358.2926429,0
24,Marathi,['Life Insurance'],51,4,Marathi,37,Health Insurance,24.90481974,6,2,2,2,472.5732549,0
36,Urdu,"['Education Insurance', 'Health Insurance']",83,7,Urdu,47,Life Insurance,28.35920374,8,4,3,1,322.2831755,0
23,Urdu,['Car Insurance'],82,3,Urdu,0,Education Insurance,33.4692833,16,6,6,0,457.030024,1
42,English,"['Car Insurance', 'Home Insurance', 'Education Insurance']",78,5,English,47,Car Insurance,20.64000586,9,3,3,0,566.6217048,0
36,English,"['Life Insurance', 'Home Insurance']",49,3,English,17,Life Insurance,22.34457096,9,2,2,4,581.3939459,0
29,Telgu,['Health Insurance'],32,1,Telgu,30,Health Insurance,27.41006318,7,3,4,2,440.2255211,1
43,Telgu,"['Car Insurance', 'Life Insurance', 'Education Insurance']",96,6,Telgu,18,Car Insurance,16.50673905,4,0,1,4,459.0567854,0
23,Marathi,['Education Insurance'],49,3,Marathi,33,Home Insurance,27.32041588,5,2,2,0,631.9038175,0
35,Urdu,"['Home Insurance', 'Life Insurance']",33,2,Urdu,20,Education Insurance,33.50683066,13,5,9,4,443.7278254,0
30,Urdu,"['Home Insurance', 'Health Insurance']",47,2,Urdu,16,Life Insurance,17.93999111,0,0,1,3,497.5973178,0
26,English,['Car Insurance'],70,5,English,48,Health Insurance,30.49137788,12,8,5,0,524.2896652,1
24,Telgu,['Education Insurance'],92,8,Telgu,4,Car Insurance,27.13357814,5,4,3,0,375.1285407,0
33,Urdu,"['Education Insurance', 'Health Insurance']",82,3,Urdu,18,Health Insurance,35.2671417,19,7,6,4,484.6355733,0
29,English,['Home Insurance'],90,4,English,40,Home Insurance,26.24811563,5,2,2,0,438.4943765,0
45,Telgu,"['Life Insurance', 'Home Insurance', 'Car Insurance']",68,3,Telgu,24,Life Insurance,18.9354497,4,1,0,1,486.0756886,0
34,Telgu,"['Home Insurance', 'Health Insurance']",47,3,Telgu,39,Home Insurance,29.49569036,6,3,2,1,363.3084437,0
21,Telgu,['Health Insurance'],20,1,Telgu,5,Education Insurance,29.03880304,8,2,4,0,459.8544023,1
35,Urdu,"['Home Insurance', 'Car Insurance']",91,7,Urdu,14,Education Insurance,24.65865359,8,3,4,0,527.1428962,1
41,Marathi,"['Home Insurance', 'Car Insurance', 'Education Insurance']",94,7,Marathi,18,Education Insurance,18.25834438,4,1,0,0,462.2215415,0
35,Marathi,"['Life Insurance', 'Education Insurance']",91,1,Marathi,39,Home Insurance,23.15000473,6,4,4,1,274.8266434,1
28,Telgu,['Home Insurance'],41,3,Telgu,42,Life Insurance,31.21345473,19,5,9,0,674.9071324,1
26,Marathi,['Home Insurance'],57,2,Marathi,2,Education Insurance,19.17074212,4,1,1,2,438.7795707,0
23,Marathi,['Car Insurance'],26,1,Marathi,31,Life Insurance,33.59738924,18,7,6,2,479.5364164,1
21,Telgu,['Car Insurance'],43,1,Telgu,41,Health Insurance,23.23114522,7,3,4,2,316.8281092,1
44,Marathi,"['Education Insurance', 'Life Insurance', 'Home Insurance']",20,1,Marathi,44,Life Insurance,24.90275132,5,4,2,2,519.4770554,0
44,Telgu,"['Health Insurance', 'Home Insurance', 'Life Insurance']",63,3,Telgu,19,Health Insurance,18.4795236,4,1,1,0,513.5656028,0
